Currency,Date,ClosingPrice,24hOpen,24hHigh,24hLow
TRX,1/29/2019,0.027007099,0.02666159,0.027479446,0.025707531
TRX,1/30/2019,0.027090763,0.027006861,0.027747498,0.026474956
TRX,1/31/2019,0.025482966,0.026871893,0.027127162,0.024896781
TRX,2/1/2019,0.025815149,0.024890088,0.026274377,0.023822929
TRX,2/2/2019,0.025396618,0.025815149,0.026041955,0.025280982
TRX,2/3/2019,0.025161689,0.025386641,0.025883427,0.024806563
TRX,2/4/2019,0.026350342,0.025143328,0.028705815,0.024791024
TRX,2/5/2019,0.025886562,0.026337948,0.027468762,0.025777701
TRX,2/6/2019,0.025292342,0.025886707,0.026402565,0.024933721
TRX,2/7/2019,0.025430878,0.02524031,0.025957045,0.025112652
TRX,2/8/2019,0.026375208,0.025433986,0.027014157,0.025222944
TRX,2/9/2019,0.02597382,0.026488326,0.027298911,0.025708279
TRX,2/10/2019,0.025453099,0.025972823,0.026021792,0.024651415
TRX,2/11/2019,0.024376298,0.025459902,0.025895287,0.023856061
TRX,2/12/2019,0.023995097,0.024376242,0.024481041,0.023744298
TRX,2/13/2019,0.023777263,0.024102153,0.024930034,0.023554615
TRX,2/14/2019,0.023233374,0.023776011,0.024084684,0.022897349
TRX,2/15/2019,0.023365459,0.023058398,0.02383327,0.023033699
TRX,2/16/2019,0.02334294,0.023364146,0.023629947,0.023210605
TRX,2/17/2019,0.023384053,0.023341211,0.023745362,0.023209138
TRX,2/18/2019,0.024360176,0.023382084,0.024893567,0.023382084
TRX,2/19/2019,0.024800368,0.024586924,0.025694437,0.024429842
TRX,2/20/2019,0.024592935,0.024798407,0.025119137,0.023918184
TRX,2/21/2019,0.024238644,0.024593254,0.025030961,0.024179334
TRX,2/22/2019,0.02468306,0.024422177,0.024730362,0.02430174
TRX,2/23/2019,0.025162735,0.024682759,0.025239059,0.024528943
TRX,2/24/2019,0.023525737,0.025160038,0.027205121,0.022080228
TRX,2/25/2019,0.02402299,0.023525176,0.024343007,0.023161654
TRX,2/26/2019,0.023914246,0.024022825,0.024327257,0.023486626
TRX,2/27/2019,0.023717216,0.024027843,0.024080774,0.023180794
TRX,2/28/2019,0.023547736,0.023718501,0.023956783,0.023257384
TRX,3/1/2019,0.023532086,0.02354736,0.023628282,0.02332845
TRX,3/2/2019,0.022583001,0.02353223,0.02355067,0.022155103
TRX,3/3/2019,0.022432985,0.022582946,0.022868475,0.022327676
TRX,3/4/2019,0.022360089,0.022433034,0.022922108,0.020503549
TRX,3/5/2019,0.023586325,0.022665783,0.023772343,0.021923298
TRX,3/6/2019,0.023133381,0.023583565,0.023724977,0.022814218
TRX,3/7/2019,0.022942468,0.023133757,0.02342029,0.022768023
TRX,3/8/2019,0.022271447,0.022942468,0.022957499,0.022105965
TRX,3/9/2019,0.022702188,0.022212267,0.022776554,0.021928519
TRX,3/10/2019,0.022778529,0.02267252,0.022986447,0.022249864
TRX,3/11/2019,0.021958854,0.022770346,0.022903996,0.021760211
